Relation	NumOfTriples
http://www.semanticdesktop.org/ontologies/2007/01/19/nie#title	1106934
http://purl.org/ontology/bibo/shortTitle	215830
http://d-nb.info/standards/elementset/gnd#preferredNameForTheCorporateBody	1202199
http://d-nb.info/standards/elementset/gnd#preferredNameForTheSubjectHeading	204141
http://www.aktors.org/ontology/portal#full-name	9613284
http://www.geonames.org/ontology#alternateName	5623730
http://purl.org/rss/1.0/title	16358631
http://d-nb.info/standards/elementset/gnd#variantNameForTheCorporateBody	1576217
http://www.w3.org/2004/02/skos/core#prefLabel	15919741
http://www.w3.org/2006/03/wn/wn20/schema/lexicalForm	2892385
http://www.geonames.org/ontology#name	24057872
http://www.aktors.org/ontology/portal#family-name	1041836
http://www.w3.org/2000/01/rdf-schema#label	303240563
http://purl.org/dc/elements/1.1/title	68842253
http://www.geonames.org/ontology#officialName	107975
http://rs.tdwg.org/dwc/terms/scientificName	283243
http://d-nb.info/standards/elementset/gnd#preferredNameForThePerson	8344436
http://purl.org/dc/terms/alternative	1750707
http://www.loc.gov/mads/rdf/v1#authoritativeLabel	10130250
http://xmlns.com/foaf/0.1/surname	2308254
http://d-nb.info/standards/elementset/gnd#variantNameForThePerson	4638443
http://swrc.ontoware.org/ontology#title	327571
http://www.aktors.org/ontology/portal#has-title	5464591
http://www.semanticdesktop.org/ontologies/2007/03/22/nco#fullname	120807
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#name	169720
http://purl.org/dc/terms/title	41811153
http://www.aktors.org/ontology/support#has-pretty-name	649432
http://d-nb.info/standards/elementset/gnd#variantNameForTheSubjectHeading	181286
http://xmlns.com/foaf/0.1/givenname	265689
http://www.w3.org/2004/02/skos/core#notation	4352618
http://www.w3.org/2004/02/skos/core#altLabel	11542902
http://usefulinc.com/ns/doap#name	331196
http://d-nb.info/standards/elementset/gnd#academicDegree	297273
http://xmlns.com/foaf/0.1/name	57911283
